_tid_,timestamp,value,seasonal,trend,resid,thr1,thr2
3351,3351.0,0.17,0.0199999999999999,0.16,-0.0099999999999999,-0.2616495891895856,0.2270711099211401
3352,3352.0,0.18,0.0199999999999999,0.16,-6.938893903907228e-18,-0.2616495891895856,0.2270711099211401
3353,3353.0,0.17,0.0199999999999999,0.16,-0.0099999999999999,-0.2616495891895856,0.2270711099211401
3354,3354.0,0.18,0.02,0.16,-2.0816681711721685e-17,-0.2616495891895856,0.2270711099211401
3355,3355.0,0.18,0.0225,0.16,-0.0025,-0.2616495891895856,0.2270711099211401
3356,3356.0,0.18,0.03,0.16,-0.01,-0.2616495891895856,0.2270711099211401
3357,3357.0,0.18,0.03,0.16,-0.01,-0.2616495891895856,0.2270711099211401
3358,3358.0,0.18,0.03,0.16,-0.01,-0.2616495891895856,0.2270711099211401
3359,3359.0,0.18,0.03,0.16,-0.01,-0.2616495891895856,0.2270711099211401
3360,3360.0,0.18,0.0424999999999999,0.16,-0.0225,-0.2616495891895856,0.2270711099211401
3361,3361.0,0.19,0.06,0.16,-0.03,-0.2616495891895856,0.2270711099211401
3362,3362.0,0.19,0.06,0.16,-0.03,-0.2616495891895856,0.2270711099211401
3363,3363.0,0.19,0.065,0.16,-0.035,-0.2616495891895856,0.2270711099211401
3364,3364.0,0.2,0.0699999999999999,0.16,-0.0299999999999999,-0.2616495891895856,0.2270711099211401
3365,3365.0,0.19,0.07,0.16,-0.04,-0.2616495891895856,0.2270711099211401
3366,3366.0,0.21,0.0949999999999999,0.16,-0.045,-0.2616495891895856,0.2270711099211401
3367,3367.0,0.21,0.13,0.16,-0.08,-0.2616495891895856,0.2270711099211401
3368,3368.0,0.22,0.14,0.16,-0.08,-0.2616495891895856,0.2270711099211401
3369,3369.0,0.22,0.13,0.16,-0.07,-0.2616495891895856,0.2270711099211401
3370,3370.0,0.21,0.13,0.16,-0.08,-0.2616495891895856,0.2270711099211401
3371,3371.0,0.22,0.15,0.16,-0.09,-0.2616495891895856,0.2270711099211401
3372,3372.0,0.23,0.205,0.16,-0.1349999999999999,-0.2616495891895856,0.2270711099211401
3373,3373.0,0.26,0.31,0.16,-0.21,-0.2616495891895856,0.2270711099211401
3374,3374.0,0.27,0.3399999999999999,0.16,-0.2299999999999999,-0.2616495891895856,0.2270711099211401
3375,3375.0,0.26,0.3,0.16,-0.1999999999999999,-0.2616495891895856,0.2270711099211401
3376,3376.0,0.25,0.27,0.16,-0.18,-0.2616495891895856,0.2270711099211401
3377,3377.0,0.24,0.25,0.16,-0.17,-0.2616495891895856,0.2270711099211401
3378,3378.0,0.24,0.2799999999999999,0.16,-0.1999999999999999,-0.2616495891895856,0.2270711099211401
3379,3379.0,0.26,0.4,0.16,0.06,-0.2616495891895856,0.2270711099211401
3380,3380.0,0.26,0.4499999999999999,0.16,0.0599999999999999,-0.2616495891895856,0.2270711099211401
3381,3381.0,0.25,0.42,0.16,-0.14,-0.2616495891895856,0.2270711099211401
3382,3382.0,0.24,0.37,0.16,-0.29,-0.2616495891895856,0.2270711099211401
3383,3383.0,0.23,0.3399999999999999,0.16,-0.0149999999999999,-0.2616495891895856,0.2270711099211401
3384,3384.0,0.23,0.33,0.16,-0.26,-0.2616495891895856,0.2270711099211401
3385,3385.0,0.24,0.4,0.16,0.035,-0.2616495891895856,0.2270711099211401
3386,3386.0,0.26,0.4299999999999999,0.16,-0.3299999999999999,-0.2616495891895856,0.2270711099211401
3387,3387.0,0.25,0.41,0.16,-0.0025,-0.2616495891895856,0.2270711099211401
3388,3388.0,0.23,0.36,0.16,-0.18,-0.2616495891895856,0.2270711099211401
3389,3389.0,0.21,0.31,0.16,-0.26,-0.2616495891895856,0.2270711099211401
3390,3390.0,0.21,0.2799999999999999,0.16,-0.2299999999999999,-0.2616495891895856,0.2270711099211401
3391,3391.0,0.2,0.26,0.16,-0.22,-0.2616495891895856,0.2270711099211401
3392,3392.0,0.2,0.25,0.16,-0.21,-0.2616495891895856,0.2270711099211401
3393,3393.0,0.19,0.2299999999999999,0.16,-0.1999999999999999,-0.2616495891895856,0.2270711099211401
3394,3394.0,0.18,0.2099999999999999,0.16,-0.1899999999999999,-0.2616495891895856,0.2270711099211401
3395,3395.0,0.17,0.18,0.16,-0.1699999999999999,-0.2616495891895856,0.2270711099211401
3396,3396.0,0.17,0.1699999999999999,0.16,-0.1599999999999999,-0.2616495891895856,0.2270711099211401
